Date,Volume,Adj Close
2016-02-12,7235800,151.039993
2016-02-16,5593800,155.169998
2016-02-17,5825200,168.679993
2016-02-18,3887600,166.770004
2016-02-19,2959400,166.580002
2016-02-22,5060100,177.740005
2016-02-23,5984400,177.210007
2016-02-24,5395600,179.00
2016-02-25,5750700,187.429993
2016-02-26,6065100,190.339996
2016-02-29,4499000,191.929993
2016-03-01,6712200,186.350006
2016-03-02,4862400,188.339996
2016-03-03,4829000,195.740005
2016-03-04,6489100,201.039993
2016-03-07,5329400,205.289993
2016-03-08,4178700,202.600006
2016-03-09,3208600,208.720001
2016-03-10,5192500,205.179993
2016-03-11,3343100,207.50
2016-03-14,4065700,215.149994
2016-03-15,3180500,218.339996
2016-03-16,3516700,221.929993
2016-03-17,3782900,226.380005
2016-03-18,4711800,232.740005
2016-03-21,5307800,238.320007
2016-03-22,4316000,234.240005
2016-03-23,4948800,222.580002
2016-03-24,4960900,227.75
2016-03-28,3925700,230.259995
2016-03-29,4014300,230.130005
2016-03-30,4033000,226.889999
2016-03-31,8012900,229.770004
2016-04-01,15997500,237.589996
2016-04-04,13475300,246.990005
2016-04-05,9948700,255.470001
2016-04-06,11705500,265.420013
2016-04-07,8856200,257.200012
2016-04-08,7363900,250.070007
2016-04-11,9161700,249.919998
2016-04-12,5763200,247.820007
2016-04-13,4925600,254.529999
2016-04-14,4132200,251.860001
2016-04-15,3752400,254.509995
2016-04-18,4261800,253.880005
2016-04-19,6357500,247.369995
2016-04-20,5194100,249.970001
2016-04-21,2783100,248.289993
2016-04-22,3786300,253.75
2016-04-25,3670300,251.820007
2016-04-26,3223800,253.740005
2016-04-27,3205800,251.470001
2016-04-28,2519000,247.710007
2016-04-29,5413800,240.759995
2016-05-02,3843900,241.800003
2016-05-03,4302200,232.320007
2016-05-04,8700500,222.559998
2016-05-05,11254800,211.529999
2016-05-06,5681100,214.929993
2016-05-09,4776400,208.919998
2016-05-10,4070600,208.690002
2016-05-11,5161900,208.960007
2016-05-12,3650500,207.279999
2016-05-13,2822800,207.610001
2016-05-16,2949400,208.289993
2016-05-17,2843600,204.660004
2016-05-18,5617500,211.169998
2016-05-19,6866300,215.210007
2016-05-20,9007100,220.279999
2016-05-23,5102500,216.220001
2016-05-24,3013800,217.910004
2016-05-25,3126800,219.580002
2016-05-26,4072400,225.119995
2016-05-27,3642700,223.039993
2016-05-31,2789000,223.229996
2016-06-01,2982700,219.559998
2016-06-02,2032800,218.960007
2016-06-03,2229000,218.990005
2016-06-06,2249500,220.679993
2016-06-07,6213600,232.339996
2016-06-08,5972000,235.520004
2016-06-09,4492100,229.360001
2016-06-10,6026600,218.789993
2016-06-13,4193000,217.869995
2016-06-14,3580200,214.960007
2016-06-15,2908500,217.699997
2016-06-16,2440300,217.929993
2016-06-17,3112600,215.470001
2016-06-20,3555500,219.699997
2016-06-21,4529000,219.610001
2016-06-22,23742400,196.660004
2016-06-23,10130700,196.399994
2016-06-24,7026500,193.149994
2016-06-27,7205400,198.550003
2016-06-28,6212400,201.789993
2016-06-29,5994900,210.190002
2016-06-30,4843100,212.279999
2016-07-01,5400000,216.50
2016-07-05,5175300,213.979996
2016-07-06,4919900,214.440002
2016-07-07,3612000,215.940002
2016-07-08,4074800,216.779999
2016-07-11,5429800,224.779999
2016-07-12,4571300,224.649994
2016-07-13,3567100,222.529999
2016-07-14,2675800,221.529999
2016-07-15,2234200,220.399994
2016-07-18,3412100,226.25
2016-07-19,3115100,225.259995
2016-07-20,2568500,228.360001
2016-07-21,4428700,220.50
2016-07-22,2579700,222.270004
2016-07-25,4490700,230.009995
2016-07-26,3430000,229.509995
2016-07-27,2889000,228.490005
2016-07-28,2419100,230.610001
2016-07-29,3070800,234.789993
2016-08-01,4016300,230.009995
2016-08-02,3934400,227.199997
