Date,Volume,Adj Close
2016-08-03,3887800,225.789993
2016-08-04,4147000,230.610001
2016-08-05,3205200,230.029999
2016-08-08,2263600,226.160004
2016-08-09,2207800,229.080002
2016-08-10,2338300,225.649994
2016-08-11,1880900,224.910004
2016-08-12,1813500,225.610001
2016-08-15,2034300,225.589996
2016-08-16,2267100,223.610001
2016-08-17,1787100,223.240005
2016-08-18,1714500,223.509995
2016-08-19,1659500,225.00
2016-08-22,2065500,222.929993
2016-08-23,4784400,224.839996
2016-08-24,2570700,222.619995
2016-08-25,1762500,220.960007
2016-08-26,2239000,219.990005
2016-08-29,3266300,215.199997
2016-08-30,3168900,211.339996
2016-08-31,3276500,212.009995
2016-09-01,7943100,200.770004
2016-09-02,5977400,197.779999
2016-09-06,4390600,202.830002
2016-09-07,3640900,201.710007
2016-09-08,3377900,197.360001
2016-09-09,3757000,194.470001
2016-09-12,3715200,198.300003
2016-09-13,3589400,196.050003
2016-09-14,2254500,196.410004
2016-09-15,3077200,200.419998
2016-09-16,3107800,205.399994
2016-09-19,2299500,206.339996
2016-09-20,2410500,204.639999
2016-09-21,2633500,205.220001
2016-09-22,2382900,206.429993
2016-09-23,2905200,207.449997
2016-09-26,2394400,208.990005
2016-09-27,3373200,205.809998
2016-09-28,2088400,206.270004
2016-09-29,2727000,200.699997
2016-09-30,2586300,204.029999
2016-10-03,5999900,213.699997
2016-10-04,3541500,211.410004
2016-10-05,1877500,208.460007
2016-10-06,4703400,201.00
2016-10-07,3493000,196.610001
2016-10-10,3316300,200.949997
2016-10-11,2328400,200.100006
2016-10-12,1970700,201.509995
2016-10-13,2494600,200.240005
2016-10-14,4269900,196.509995
2016-10-17,4554100,193.960007
2016-10-18,5680500,199.100006
2016-10-19,6991200,203.559998
2016-10-20,5072900,199.100006
2016-10-21,2943400,200.089996
2016-10-24,2751600,202.759995
2016-10-25,2445000,202.339996
2016-10-26,5632800,202.240005
2016-10-27,13093700,204.009995
2016-10-28,4280100,199.970001
2016-10-31,4692300,197.729996
2016-11-01,7060000,190.789993
2016-11-02,4253400,188.020004
2016-11-03,2653000,187.419998
2016-11-04,5146000,190.559998
2016-11-07,3870100,193.210007
2016-11-08,3267600,194.940002
2016-11-09,8173100,190.059998
2016-11-10,6750300,185.350006
2016-11-11,3988500,188.559998
2016-11-14,6552200,181.449997
2016-11-15,3902000,183.770004
2016-11-16,3434400,183.929993
2016-11-17,4887100,188.660004
2016-11-18,5210300,185.020004
2016-11-21,4361000,184.520004
2016-11-22,5603400,191.169998
2016-11-23,4891900,193.139999
2016-11-25,2366100,196.649994
2016-11-28,4529200,196.119995
2016-11-29,4439300,189.570007
2016-11-30,3547100,189.399994
2016-12-01,5126400,181.880005
2016-12-02,4042300,181.470001
2016-12-05,4072200,186.800003
2016-12-06,3391600,185.850006
2016-12-07,5461900,193.149994
2016-12-08,3194100,192.289993
2016-12-09,2722500,192.179993
2016-12-12,2438900,192.429993
2016-12-13,6823900,198.149994
2016-12-14,4150900,198.690002
2016-12-15,3219600,197.580002
2016-12-16,3796900,202.490005
2016-12-19,3488100,202.729996
2016-12-20,4689100,208.789993
2016-12-21,5207600,207.699997
2016-12-22,3111100,208.449997
2016-12-23,4670500,213.339996
2016-12-27,5915700,219.529999
2016-12-28,3782500,219.740005
2016-12-29,4045000,214.679993
2016-12-30,4642600,213.690002
2017-01-03,5923300,216.990005
2017-01-04,11213500,226.990005
2017-01-05,5911700,226.75
2017-01-06,5527900,229.009995
2017-01-09,3957000,231.279999
2017-01-10,3660000,229.869995
2017-01-11,3650800,229.729996
2017-01-12,3790200,229.589996
2017-01-13,6093000,237.75
2017-01-17,4617500,235.580002
2017-01-18,3769000,238.360001
2017-01-19,7732300,243.759995
2017-01-20,4204300,244.729996
2017-01-23,6262900,248.919998
2017-01-24,4965500,254.610001
2017-01-25,5142600,254.470001
2017-01-26,3152100,252.509995
2017-01-27,3166300,252.949997
2017-01-30,3801100,250.630005
2017-01-31,4116100,251.929993
2017-02-01,3958800,249.240005
2017-02-02,2499800,251.550003
2017-02-03,2186700,251.330002
2017-02-06,3562500,257.769989
2017-02-07,4244800,257.480011
2017-02-08,3933000,262.079987
2017-02-09,7820200,269.200012
