Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-07,15:50:00,27.147,27.157,27.137,27.137,703,0
2016-10-07,15:55:00,27.107,27.117,27.107,27.117,502,0
2016-10-07,16:00:00,27.137,27.137,27.127,27.137,1406,0
2016-10-07,16:10:00,27.127,27.127,27.127,27.127,402,0
2016-10-07,16:20:00,27.117,27.117,27.117,27.117,402,0
2016-10-07,16:25:00,27.117,27.117,27.117,27.117,402,0
2016-10-07,17:40:00,27.007,27.007,27.007,27.007,402,0
2016-10-07,17:50:00,26.968,26.997,26.958,26.968,4922,0
2016-10-07,18:05:00,26.978,26.978,26.978,26.978,100,0
2016-10-07,18:30:00,26.968,26.978,26.958,26.958,301,0
2016-10-07,18:50:00,26.978,27.017,26.978,27.017,703,0
2016-10-07,18:55:00,27.017,27.027,27.017,27.027,804,0
2016-10-07,19:10:00,27.037,27.037,27.037,27.037,402,0
2016-10-07,19:15:00,27.047,27.067,27.047,27.067,402,0
2016-10-07,19:20:00,27.047,27.047,27.047,27.047,402,0
2016-10-07,21:50:00,27.097,27.097,27.097,27.097,100,0
2016-10-07,22:00:00,27.077,27.077,27.007,27.047,1306,0
2016-10-10,15:50:00,27.197,27.226,27.197,27.226,502,0
2016-10-10,16:05:00,27.236,27.236,27.236,27.236,402,0
2016-10-10,16:15:00,27.246,27.246,27.246,27.246,402,0
2016-10-10,16:20:00,27.236,27.236,27.236,27.236,402,0
2016-10-10,16:25:00,27.246,27.246,27.246,27.246,402,0
2016-10-10,16:30:00,27.246,27.246,27.246,27.246,402,0
2016-10-10,16:35:00,27.246,27.246,27.246,27.246,402,0
2016-10-10,16:40:00,27.256,27.256,27.256,27.256,402,0
2016-10-10,16:45:00,27.266,27.266,27.266,27.266,402,0
2016-10-10,16:50:00,27.266,27.266,27.266,27.266,402,0
2016-10-11,15:35:00,27.545,27.545,27.545,27.545,890,0
2016-10-11,15:45:00,27.067,27.077,27.067,27.067,2411,0
2016-10-11,15:50:00,27.067,27.067,27.057,27.057,804,0
2016-10-11,15:55:00,27.037,27.037,27.037,27.037,804,0
2016-10-11,16:00:00,27.007,27.007,27.007,27.007,402,0
2016-10-11,16:05:00,26.987,26.987,26.987,26.987,402,0
2016-10-11,16:10:00,26.997,26.997,26.997,26.997,804,0
2016-10-11,16:15:00,26.968,26.968,26.968,26.968,1205,0
2016-10-11,16:20:00,26.968,26.968,26.968,26.968,402,0
2016-10-11,16:25:00,26.958,26.968,26.958,26.968,804,0
2016-10-11,16:35:00,26.997,27.017,26.997,27.017,1105,0
2016-10-11,17:35:00,26.918,26.918,26.918,26.918,1205,0
2016-10-11,19:35:00,26.858,26.858,26.858,26.858,402,0
2016-10-11,19:40:00,26.848,26.848,26.848,26.848,402,0
2016-10-11,19:50:00,26.848,26.848,26.838,26.838,1205,0
2016-10-11,19:55:00,26.838,26.838,26.838,26.838,402,0
2016-10-11,20:10:00,26.808,26.808,26.808,26.808,402,0
2016-10-11,20:20:00,26.808,26.808,26.808,26.808,402,0
2016-10-11,20:40:00,26.798,26.798,26.798,26.798,402,0
2016-10-11,21:55:00,26.838,26.868,26.818,26.868,1507,0
2016-10-11,22:00:00,26.808,26.888,26.788,26.888,4822,0
2016-10-12,16:00:00,26.818,26.818,26.808,26.808,804,0
2016-10-12,16:05:00,26.808,26.818,26.808,26.818,804,0
2016-10-12,16:10:00,26.828,26.828,26.808,26.808,1205,0
2016-10-12,16:20:00,26.818,26.818,26.818,26.818,804,0
2016-10-12,16:25:00,26.808,26.808,26.808,26.808,402,0
2016-10-12,17:15:00,26.749,26.749,26.749,26.749,402,0
2016-10-12,17:30:00,26.749,26.749,26.749,26.749,402,0
2016-10-12,17:35:00,26.759,26.759,26.749,26.749,1205,0
2016-10-12,18:00:00,26.739,26.739,26.719,26.719,1607,0
2016-10-12,18:05:00,26.719,26.719,26.719,26.719,804,0
2016-10-12,18:25:00,26.739,26.739,26.739,26.739,402,0
2016-10-12,18:30:00,26.749,26.749,26.739,26.739,502,0
2016-10-12,18:40:00,26.749,26.749,26.749,26.749,402,0
2016-10-12,18:45:00,26.759,26.759,26.759,26.759,402,0
2016-10-12,18:55:00,26.749,26.749,26.749,26.749,402,0
2016-10-12,20:20:00,26.749,26.749,26.749,26.749,502,0
2016-10-12,21:55:00,26.749,26.788,26.749,26.749,1607,0
2016-10-13,15:45:00,26.5,26.51,26.5,26.51,2511,0
2016-10-13,15:50:00,26.51,26.51,26.48,26.48,1105,0
2016-10-13,15:55:00,26.43,26.44,26.43,26.44,1005,0
2016-10-13,16:00:00,26.44,26.45,26.44,26.45,1205,0
2016-10-13,16:05:00,26.44,26.45,26.44,26.45,904,0
2016-10-13,16:10:00,26.45,26.45,26.45,26.45,804,0
2016-10-13,19:20:00,26.549,26.589,26.41,26.579,16173,0
2016-10-13,20:05:00,26.619,26.619,26.619,26.619,201,0
2016-10-13,20:10:00,26.629,26.639,26.629,26.629,1406,0
2016-10-13,21:00:00,26.659,26.659,26.649,26.649,301,0
2016-10-13,21:15:00,26.659,26.659,26.659,26.659,100,0
2016-10-14,17:30:00,26.768,26.768,26.759,26.768,502,0
2016-10-14,18:40:00,26.749,26.749,26.749,26.749,301,0
2016-10-14,19:35:00,26.778,26.778,26.778,26.778,301,0
2016-10-14,20:05:00,26.768,26.768,26.768,26.768,100,0
2016-10-14,22:00:00,26.729,26.729,26.659,26.719,2210,0
2016-10-17,21:40:00,26.739,26.739,26.739,26.739,100,0
2016-10-17,21:55:00,26.768,26.768,26.768,26.768,100,0
2016-10-18,17:15:00,26.978,26.978,26.978,26.978,1708,0
2016-10-18,17:35:00,26.997,26.997,26.997,26.997,3014,0
2016-10-18,17:45:00,26.997,26.997,26.997,26.997,402,0
2016-10-18,21:35:00,26.978,26.978,26.978,26.978,100,0
2016-10-18,21:45:00,26.968,26.968,26.968,26.968,201,0
2016-10-18,21:50:00,26.968,26.968,26.958,26.958,402,0
2016-10-18,21:55:00,26.968,26.968,26.958,26.958,502,0
2016-10-19,15:45:00,27.047,27.047,27.047,27.047,301,0
2016-10-20,16:40:00,26.968,26.968,26.968,26.968,402,0
2016-10-20,17:00:00,26.958,26.958,26.958,26.958,402,0
2016-10-20,17:45:00,26.987,26.987,26.987,26.987,402,0
2016-10-21,15:45:00,26.928,26.938,26.928,26.938,804,0
2016-10-21,15:50:00,26.928,26.928,26.928,26.928,904,0
2016-10-21,15:55:00,26.938,26.948,26.938,26.948,1808,0
2016-10-21,16:05:00,26.948,26.948,26.948,26.948,402,0
2016-10-24,18:40:00,27.097,27.097,27.057,27.057,301,0
2016-10-25,16:50:00,26.987,26.987,26.978,26.978,1406,0
